"","type","Y_means","PC1","PC2","PC3","PC4","PC5"
"T1","GEN",9.544156211,-1.07862794358569,0.844393685848466,0.405037803964382,-0.446983640703943,-3.05308388609367e-08
"T2","GEN",13.0521504896,-1.47427304937209,0.642606244651815,-0.407086834680349,0.21066602632255,9.35295350584572e-09
"T3","GEN",11.2186503771333,-0.187249845275983,1.13732921863366,-0.445578207342189,-0.0409609103152426,1.83023179298866e-09
"T4","GEN",10.2303122794,0.559759176354878,-0.797035458535848,-1.5792960685749,-0.422730527427838,-6.49188512663984e-09
"T5","GEN",12.4910473797333,0.87433855561176,-1.2129080401592,0.829815680033255,-0.0662440447668809,-9.30749567743171e-09
"T6","GEN",11.9173656211333,0.87985631101787,1.06101565320862,0.785565476413239,0.12911985750173,7.2440592857414e-09
"T7","GEN",9.35349803706667,-0.735049017460014,-1.03549180792403,0.592653314460156,-0.682109305684536,1.28752126267538e-08
"T8","GEN",13.3881858206,2.19147032275008,0.379874460796782,-0.164621907453959,0.266770331386526,-6.01822734639823e-09
"T9","GEN",13.3061134741333,-1.03022451004081,-1.01978395652026,-0.0164892568196378,1.05247221368763,-8.9794449788895e-09
"1","ENV",11.802548194531,0.246443193792022,0.0475747861671139,-0.790017850258374,-1.1760886121109,1.7244307148594e-08
"2","ENV",11.414875456378,1.05388636980713,-2.264011287067,0.131054493755165,0.331773938316884,1.7244307148594e-08
"3","ENV",11.5594273409441,-2.93038775328842,-0.128786671166203,0.510784453866921,0.09130677512732,1.7244307148594e-08
"4","ENV",11.4956317485064,1.33512569819663,1.25477531352297,1.45133779283564,-0.0137813222082307,1.7244307148594e-08
"5","ENV",11.783894865085,0.294932491492633,1.09044785854312,-1.30315889019935,0.766789220874925,1.7244307148594e-08
