TenureStatus,FarmerClassif
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,adopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
owner,nonadopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,adopter
share-rent,nonadopter
share-rent,nonadopter
share-rent,nonadopter
share-rent,nonadopter
share-rent,nonadopter
share-rent,nonadopter
share-rent,nonadopter
share-rent,nonadopter
share-rent,nonadopter
share-rent,nonadopter
fixed-rent,adopter
fixed-rent,adopter
fixed-rent,adopter
fixed-rent,adopter
fixed-rent,nonadopter
fixed-rent,nonadopter
fixed-rent,nonadopter
